Colonne1;Association;Contact;Longitude;Latitude;Icon;Adresse;Téléphone;Mail;Lien
0;Association Halte Pouce;Siège de l'association                                                 04 67 40 31 12 <br>21 Rue Jean Giroux <br>34080 Montpellier <br>Bâtiment des PEP34, quartier Malbosc;3.827752;43.6385499;#icon-1502-DB4436;21 Rue Jean Giroux, 34080 Montpellier ;04 67 40 31 12;;
1;ALSH associatif UFOLEP Ovalie (maternel & élémentaire);Directrice Pascaline MARGAILLAN 06.89.71.64.55                                                    École primaire Olympe de Gouge<br>1375 rue de Bugarel<br>04 67 67 41 63;3.8459424;43.5909137;#icon-1502-FF5252;1375 rue de Bugarel, 34070 Montpellier;04 67 67 41 63;;
2;ALSH associatif UFOLEP Grisettes (maternel & élémentaire);Direct. America LOE A FOOK  07.82.24.92.57        École primaire Beethoven<br>280 rue du Mas Nouguier<br>04 67 67 41 63;3.8563229;43.5842791;#icon-1502-FF5252;280 rue du Mas Nouguier, 34070 Montpellier;04 67 67 41 63;;
3;ALSH associatif UFOLEP Voltaire (élémentaire);École Voltaire                                                              157 rue Henri Sellier                                                04 67 67 41 63;3.8632524;43.5951802;#icon-1899-FF5252;157 rue Henri Sellier, 34000 Montpellier;04 67 67 41 63;;
4;ALSH associatif UFOLEP Kipling (maternel);Directrice Camille CROUZET 06.80.44.75.88<br>École Kipling<br>311 avenue de Saint Clément<br>04 67 67 41 63;3.8452348;43.6162952;#icon-1502-FF5252;311 avenue de Saint Clément, 34000 Montpellier;04 67 67 41 63;;
5;ALSH associatif UFOLEP Pagnol (maternel);École Pagnol<br>305 rue Georges Brassens<br>04 67 67 41 63;3.8653889;43.5940222;#icon-1899-FF5252;305 rue Georges Brassens, 34000 Montpellier;04 67 67 41 63;;
6;ALSH associatif UFOLEP Baudelaire (élémentaire);Directrice Camille CROUZET 06.80.44.75.88<br>École Baudelaire<br>311 avenue de Saint Clément<br>04 67 67 41 63;3.8459483;43.616571;#icon-1502-FF5252;311 avenue de Saint Clément, 34000 Montpellier;04 67 67 41 63;;
7;ALSH associatif MUC Vacances (maternel et élémentaire);Directrice Astrid 06.89.10.29.06                    Écoles Chaplin / Pottier-Sibelius<br>120 rue de la Jalade<br>04 99 58 35 36;3.8644567;43.6266316;#icon-1502-0F9D58;120 rue de la Jalade, 34090 Montpellier;04 99 58 35 36;;
8;ALSH associatif MUC Vacances;Directeur ???                                                             École maternelle Bernhardt<br>175 rue Villalonga<br>04 99 58 35 36;3.9077739;43.6119843;#icon-1502-0F9D58;175 rue Villalonga, 34000 Montpellier;04 99 58 35 36;;
9;ALSH associatif le Relais des enfants (maternel);École maternelle Pasteur<br>15 rue Saint Sépulcre<br>04 67 66 21 30;3.8733869;43.6093354;#icon-1502-757575;15 rue Saint Sépulcre, 34000 Montpellier;04 67 66 21 30;;
10;ALSH associatif le Relais des enfants (maternel);École maternelle Rousseau<br>21 rue d’Aigrefeuille<br>04 67 66 21 30;3.8759052;43.6124192;#icon-1502-757575;21 rue d’Aigrefeuille, 34062 Montpellier;04 67 66 21 30;;
11;ALSH associatif le Relais des enfants (élémentaire);(local de l'association)<br>1 rue Embouque d’Or<br>04 67 66 21 30;3.8788543;43.6108096;#icon-1502-757575;1 rue Embouque d’Or, 34000 Montpellier;04 67 66 21 30;;
12;ALSH associatif Vacances évasion (maternel);École Goethe<br>3 rue des Coronilles<br>04 99 13 71 10;3.8534272;43.6110296;#icon-1502-F57C00;3 rue des Coronilles, 34000 Montpellier;04 99 13 71 10;;
13;ALSH associatif Vacances évasion (élémentaire);École Langevin<br>5 rue de Clémentville<br>04 99 13 71 10;3.8541292;43.6108174;#icon-1502-F57C00;5 rue de Clémentville, 34000 Montpellier;04 99 13 71 10;;
14;ALSH associatif Vacances évasion (élémentaire);Ecole Jean Jaures                                                        10 chemin des Barques<br>04 99 13 71 10;3.8943939;43.6043746;#icon-1899-F57C00;10 chemin des Barques, 34000 Montpellier;04 99 13 71 10;;
15;ALSH associatif Vacances évasion (maternel & élémentaire);Directeur ???                           06 40 42 18 62          Ecole Andrée COSSO, rue du 8 Mai 1945;3.9758812;43.655436;#icon-1899-F57C00;rue du 8 Mai 1945, 34740 Vendargues;06 40 42 18 62;;
16;ALSH associatif Vacances évasion (maternel & élémentaire);Directrice Eloïse Fernandez 06 40 42 18 78        04 99 13 7 10 www.vaceva.com                        Salle F.Dolto,  place des écoles;3.9118299;43.6551585;#icon-1899-F57C00;place des écoles, 34830 Jacou;04 99 13 7 10;;www.vaceva.com
17;ALSH associatif Vacances évasion (maternel);Écoles Florian<br>49 rue de la Méditerranée<br>04 99 13 71 10;3.8864529;43.6047984;#icon-1899-F57C00;49 rue de la Méditerranée, 34000 Montpellier;04 99 13 71 10;;
18;ALSH associatif Vacances évasion (élémentaire);Écoles Simon<br>45 rue de la Méditerranée<br>04 99 13 71 10;3.8857432;43.6049883;#icon-1899-F57C00;45 rue de la Méditerranée, 34000 Montpellier;04 99 13 71 10;;
19;ALSH associatif Vacances évasion (maternel);Écoles Mozart (directeur Jacques KAUFMAN 06.52.13.97.79)<br>60 avenue d'Assas<br>04 99 13 71 10;3.861621;43.6169515;#icon-1502-F57C00;60 avenue d'Assas, 34000 Montpellier;04 99 13 71 10;;
20;ALSH associatif Vacances évasion (élémentaire);Ecole De Gaulle                                                           10 chemin des Barques<br>04 99 13 71 10;3.8941418;43.6043513;#icon-1899-F57C00;10 chemin des Barques, 34000 Montpellier;04 99 13 71 10;;
21;ALSH associatif Vacances évasion (élémentaire);Ecole Morisot (directeur Jacques KAUFMAN 06.52.13.97.79)                                                      60 avenue d'Assas<br>04 99 13 71 10;3.8620823;43.6165651;#icon-1502-F57C00;60 avenue d'Assas, 34000 Montpellier;04 99 13 71 10;;
22;ALSH associatif la Gerbe (élémentaire);Ecole Marie Curie<br>19 rue Chaptal<br>04 99 74 24 30;3.8695994;43.6060055;#icon-1899-817717;19 rue Chaptal, 34000 Montpellier;04 99 74 24 30;;
23;ALSH associatif les Francas (maternel);Directrice Mylène DEROCHE au 06.29.52.29.36 mderoche@francas34.frÉcoles Renaud <br>123 rue de Salamanque <br>06 51 87 47 99;3.8183917;43.6238108;#icon-1502-9C27B0;123 rue de Salamanque, 34000 Montpellier;06 51 87 47 99;mderoche@francas34.fr;
24;ALSH municipal Sun Yat Sen (élémentaire);Ecole Sun Yat Sen                                                 843 rue de la Croix de Figuerolles<br>06 51 87 47 99;3.8439558;43.6043949;#icon-1502-0288D1;843 rue de la Croix de Figuerolles, 34000 Montpellier;06 51 87 47 99;;
25;ALSH associatif les Francas (élémentaire);Directrice Mylène DEROCHE au 06.29.52.29.36  mderoche@francas34.fr                                     Ecole élémentaire Balard  360 avenue de Barcelone 06 51 87 47 99;3.8180502;43.6235447;#icon-1502-9C27B0;360 avenue de Barcelone, 34000 Montpellier;06 51 87 47 99;mderoche@francas34.fr;
26;ALSH municipal Maria Callas (maternel);Ecole Maria Callas                                                  803  rue de la Croix de Figuerolles<br>06 51 87 47 99;3.8446539;43.6043417;#icon-1502-0288D1;803  rue de la Croix de Figuerolles, 34000 Montpellier;06 51 87 47 99;;
27;ALSH associatif les Francas (maternel & élémentaire);Directrice Sophie LESCURE pour tous renseignements au 06.24.82.89.40;3.675142;43.626152;#icon-1899-9C27B0;;06 24 82 89 40;;
28;ALSH associatif les Francas (maternel & élémentaire);???;3.673969;43.697624;#icon-1899-9C27B0;;;;
29;ALSH associatif GFEN Languedoc (élémentaire);Dans école Louisville                                         (local de l'association)<br>320 rue Le Grand Mail<br>09 50 07 12 44;3.8154992;43.625273;#icon-1899-1A237E;320 rue Le Grand Mail, 34000 Montpellier;09 50 07 12 44;;
30;ALSH associatif GFEN Languedoc (élémentaire);dans école Heidelberg                                                 (local de l'association<br>320 rue Le Grand Mail<br>09 50 07 12 44);3.8139937;43.6251385;#icon-1899-1A237E;320 rue Le Grand Mail, 34000 Montpellier;09 50 07 12 44);;
31;ALSH associatif PEP 34 (maternel et élémentaire);École maternelle Yourcenar<br>71 rue Jean Joseph Laborde<br>04 67 40 73 00;3.8309744;43.6341324;#icon-1899-AFB42B;71 rue Jean Joseph Laborde, 34000 Montpellier;04 67 40 73 00;;
32;ALSH associatif ACLE (élémentaire);École élémentaire Daubié<br>183 allée de l'aqueduc<br>09 65 30 94 83;3.8423608;43.6196178;#icon-1899-FFEA00;183 allée de l'aqueduc, 34087 Montpellier;09 65 30 94 83;;
33;ALSH associatif ACLE (maternel);École maternelle Madeleine Brès<br>183 allée de l'aqueduc<br>09 65 30 94 83;3.842275;43.6197421;#icon-1899-FFEA00;183 allée de l'aqueduc, 34087 Montpellier;09 65 30 94 83;;
34;ALSH associatif Passe-muraille;Directrice Laure GUIRAL 06 78 12 96 89 alshvailhauques@lepassemuraille.org;3.717852;43.6711861;#icon-1899-4E342E;;06 78 12 96 89;alshvailhauques@lepassemuraille.org;
35;ALSH associatif Passe-muraille (maternel & élémentaire);Adresse ???                                                              06 70 49 33 37 (Stéphanie Cangiano)<br>alshsaintmartindelondres@lepassemuraille.org;3.732024;43.791551;#icon-1899-4E342E;;06 70 49 33 37;alshsaintmartindelondres@lepassemuraille.org;
36;ALSH associatif Loisirs de La Salle (maternel & élémentaire);Directeur ??? 04 67 02 76 84<br>Ecole primaire de La Salle<br>Rue Lunaret<br>34000 MONTPELLIER<br>Tél : 07.87.11.64.69;3.8820108;43.6195802;#icon-1899-E65100;Rue Lunaret, 34000 MONTPELLIER;04 67 02 76 84;;
37;ALSH associatif Les Enfants d’Hélène (maternel et élémentaire);École primaire Mitterrand<br>1330 rue Henri Lagattu<br>04 99 74 72 80;3.8320799;43.6299818;#icon-1502-795548;1330 rue Henri Lagattu, 34000 Montpellier;04 99 74 72 80;;
38;ALSH associatif Léo Lagrange;6 rue Jules Ferry école primaire<br>34110 MIREVAL<br><br>Tél: 04.67.74.94.21<br> 06.12.83.22.02<br>Email : leolagrange.mireval@orange.fr;3.7995871;43.5065668;#icon-1899-FBC02D;6 rue Jules Ferry école primaire, 34110 MIREVAL;04 67 74 94 21;leolagrange.mireval@orange.fr;
39;ALSH associatif Éveil en Mouvement (maternel et élémentaire);Directrice SARRAIL Lisa 06.34.45.61.72       Écoles Térésa / Ferry<br>Rue Antoine Laurent de Jussieu;3.8738226;43.6364508;#icon-1899-A52714;Rue Antoine Laurent de Jussieu, 34000 Montpellier;06 34 45 61 72;;
40;ALSH associatif Loisirs-Education et Citoyenneté Grand sud (maternel);Directeur ???              04 67 55 17 03 -          lesloulousdupic@loisireduc.org                         allée de l'espérance;3.8682537;43.7740495;#icon-1899-BDBDBD;allée de l'espérance, 34270 Saint-Mathieu-de-Tréviers;04 67 55 17 03;lesloulousdupic@loisireduc.org;
41;ALSH municipal Aiguelongue (maternel et élémentaire);Écoles Camoens / Freud<br>2 rue des Tourterelles<br>06 17 90 63 81;3.8793731;43.6260802;#icon-1502-0288D1;2 rue des , 34000 Montpellier;06 17 90 63 81;;
42;ALSH municipal les Tours (maternel);Écoles Copernic<br>Rue Pierre Nicolas<br>06 17 90 60 33;3.8126265;43.639726;#icon-1899-0288D1;Rue Pierre Nicolas, 34000 Montpellier;06 17 90 60 33;;
43;ALSH municipal les Tours (élémentaire);École Bloch<br>135 allée des Hauts de Massane<br>06 17 90 60 33;3.8201086;43.6399432;#icon-1899-0288D1;135 allée des Hauts de Massane, 34000 Montpellier;06 17 90 60 33;;
44;ALSH municipal Oxford (maternel);Magali NEGRE  06 17 90 60 97;3.8190497;43.6273018;#icon-1502-0288D1;;06 17 90 60 97;;
45;ALSH municipal Oxford (élémentaire);Magali NEGRE  06 17 90 60 97                           Écoles Roosevelt, 25 rue de Lausanne 06 17 90 60 97;3.8195928;43.6273968;#icon-1502-0288D1;25 rue de Lausanne, 34000 Montpellier;06 17 90 60 97;;
46;ALSH municipal Malet (élémentaire);École élémentaire Malet<br>5 allée Pierre Carabasse<br>06 17 90 64 41;3.8318149;43.6126741;#icon-1502-9C27B0;5 allée Pierre Carabasse, 34080 Montpellier;06 17 90 64 41;;
47;ALSH municipal Carpantier (maternel);École maternelle Carpantier<br>12 rue des Écoles<br>06 17 90 71 27;3.8277249;43.6136853;#icon-1502-9C27B0;12 rue des Écoles, 34000 Montpellier;06 17 90 71 27;;
48;ALSH municipal la Martelle (maternel);Écoles Spinoza<br>88 rue Viollet le Duc<br>06 17 90 70 19;3.8366795;43.6086738;#icon-1502-0288D1;88 rue Viollet le Duc, 34000 Montpellier;06 17 90 70 19;;
49;ALSH municipal la Martelle (élémentaire);École Deroin<br>110 rue Viollet le Duc<br>06 17 90 70 19;3.8378976;43.6084372;#icon-1502-0288D1;110 rue Viollet le Duc, 34000 Montpellier;06 17 90 70 19;;
50;ALSH municipal Michelet (maternel);École maternelle Jules Michelet<br>Rue des Araucarias<br>06 17 90 68 30;3.8385227;43.6156312;#icon-1502-0288D1;Rue des Araucarias, 34000 Montpellier;06 17 90 68 30;;
51;ALSH municipal Villon (élémentaire);École élémentaire Joseph Delteil<br>Rue des Araucarias<br>06 17 90 67 99;3.8385173;43.6156293;#icon-1502-0288D1;Rue des Araucarias, 34000 Montpellier;06 17 90 67 99;;
52;ALSH municipal Combes (maternel);Directrice Armelle MOINES                                    (bureau MPT Paul Emile Victor)                         Ecole maternelle Victor Duruy                                (Bureau 20 rue Edmond Lautard)                         06 17 90 69 12;3.8406951;43.6228685;#icon-1502-0288D1;20 rue Edmond Lautard, 34000 Montpellier;06 17 90 69 12;;
53;ALSH municipal Combes (élémentaire);Directrice Armelle MOINES                                   (bureau MPT Paul Emile Victor)                          Ecole Combes<br>20 rue Edmond Lautard<br>06 17 90 69 12;3.8404288;43.623094;#icon-1502-0288D1;20 rue Edmond Lautard, 34000 Montpellier;06 17 90 69 12;;
54;ALSH municipal Vernes (élémentaire);École élémentaire Verne<br>127 rue Yehudi Menuhin<br>06 17 90 65 34;3.8839626;43.6173554;#icon-1502-0288D1;127 rue Yehudi Menuhin, 34000 Montpellier;06 17 90 65 34;;
55;ALSH municipal la Fontaine (maternel);École maternelle La Fontaine<br>27 quai des Tanneurs<br>06 17 90 67 64;3.8781024;43.6155857;#icon-1899-0288D1;27 quai des Tanneurs, 34090 Montpellier;06 17 90 67 64;;
56;ALSH municipal Roux (maternel & élémentaire);École maternelle Roux<br>96 rue du Faubourg Figuerolles<br>06 17 90 62 65;3.8623796;43.6059136;#icon-1899-0288D1;96 rue du Faubourg Figuerolles, 34000 Montpellier;06 17 90 62 65;;
57;ALSH municipal Lantissargues (maternel & élémentaire);École élémentaire Simenon<br>215 boulevard Pédro de Luna<br>06 17 44 58 78;3.8708123;43.5948815;#icon-1502-0288D1;215 boulevard Pédro de Luna, 34000 Montpellier;06 17 44 58 78;;
58;ALSH municipal Estanove (maternel & élémentaire);École primaire Churchill<br>Rue du Lavandin<br>06 17 90 62 24;3.8547426;43.5997186;#icon-1899-0288D1;Rue du Lavandin, 34000 Montpellier;06 17 90 62 24;;
59;ALSH municipal Savary (élémentaire);École Savary<br>240 quai Flora Tristan<br>06 17 90 64 84;3.8392168;43.5967226;#icon-1502-0288D1;240 quai Flora Tristan, 34070 Montpellier;06 17 90 64 84;;
60;ALSH municipal Boucher (maternel);Écoles Boucher<br>240 quai Flora Tristan<br>06 17 90 64 84;3.8399142;43.5964545;#icon-1502-0288D1;240 quai Flora Tristan, 34070 Montpellier;06 17 90 64 84;;
61;ALSH municipal les Aiguerelles (élémentaire);Directeur ???                                                            École Dickens<br>686 avenue du Pont Trinquat<br>06 17 90 69 63;3.8918833;43.5977947;#icon-1899-0288D1;686 avenue du Pont Trinquat, 34000 Montpellier;06 17 90 69 63;;
62;ALSH municipal les Aiguerelles (maternel);Directeur ???                                                        École Anne Frank<br>686 avenue du Pont Trinquat<br>06 17 90 69 63;3.8918833;43.5977947;#icon-1899-0288D1;686 avenue du Pont Trinquat, 34000 Montpellier;06 17 90 69 63;;
63;ALSH municipal Cité Mion (élémentaire);Directeur ???                                                     Écoles Brel<br>Impasse des Marmousets<br>06 17 90 61 09;3.8818933;43.5982043;#icon-1899-0288D1;Impasse des Marmousets, 34060 Montpellier;06 17 90 61 09;;
64;ALSH municipal Cité Mion (maternel);Directeur ???                                                        École Signoret<br>Impasse des Marmousets<br>06 17 90 61 09;3.8821491;43.5985236;#icon-1899-0288D1;Impasse des Marmousets, 34060 Montpellier;06 17 90 61 09;;
65;ALSH municipal Malraux (maternel & élémentaire);Directrice Julia FERRY 04.67.20.35.53                                                    Groupe scolaire Malraux<br>Rue Joan Miro/ rue du mas rouge<br>06 17 90 64 49 ou 06 17 90 65 13;3.9076084;43.6021215;#icon-1502-0288D1;Rue Joan Miro, 34000 Montpellier;04 67 20 35 53;;
