,Site,Tag
0,https://www.halte-pouce.fr/ressources/lecole-et-sessad-parents-these-a-jacou-34-specialisee-dans-les-ted,"                                  Accueil - Établissements - Services   
                                         Associations & handicap  
                                         Modes d’accueils alternatifs  
                                         Scolarité  
                       
                  "
1,https://www.halte-pouce.fr/ressources/association-avenir-des-possibles-a-lunel-pour-les-autistes-par-les-autistes,"                                  Modes d’accueils alternatifs  
                       
                  "
2,https://www.halte-pouce.fr/ressources/Les-Ateliers-de-Bentenac,"                                  Accueil - Établissements - Services   
                                         Modes d’accueils alternatifs  
                       
                  "
3,https://www.halte-pouce.fr/ressources/lecole-amethyste-une-ecole-privee-atypique-a-palavas-les-flots,"                                  Accueil - Établissements - Services   
                                         Associations & handicap  
                                         Scolarité  
                       
                  "
4,https://www.halte-pouce.fr/actualites/message-du-cesu-appel-a-la-solidarite-des-particuliers-employeurs,"                                  Emploi / Législation  
                                         Santé  
                       
                  "
5,https://www.halte-pouce.fr/ressources/L-association-Col-Oc-Autisme,"                                  Associations & handicap  
                                         Modes d’accueils alternatifs  
                       
                  "
6,https://www.halte-pouce.fr/ressources/lecole-et-sessad-parents-these-a-jacou-34-specialisee-dans-les-ted,"                                  Accueil - Établissements - Services   
                                         Associations & handicap  
                                         Modes d’accueils alternatifs  
                                         Scolarité  
                       
                  "
7,https://www.halte-pouce.fr/ressources/association-avenir-des-possibles-a-lunel-pour-les-autistes-par-les-autistes,"                                  Modes d’accueils alternatifs  
                       
                  "
8,https://www.halte-pouce.fr/ressources/Les-Ateliers-de-Bentenac,"                                  Accueil - Établissements - Services   
                                         Modes d’accueils alternatifs  
                       
                  "
9,https://www.halte-pouce.fr/ressources/lecole-amethyste-une-ecole-privee-atypique-a-palavas-les-flots,"                                  Accueil - Établissements - Services   
                                         Associations & handicap  
                                         Scolarité  
                       
                  "
10,https://www.halte-pouce.fr/actualites/message-du-cesu-appel-a-la-solidarite-des-particuliers-employeurs,"                                  Emploi / Législation  
                                         Santé  
                       
                  "
11,https://www.halte-pouce.fr/ressources/L-association-Col-Oc-Autisme,"                                  Associations & handicap  
                                         Modes d’accueils alternatifs  
                       
                  "
