,Site,Tag
0,https://www.halte-pouce.fr/ressources/lassociation-manque-pas-dair-accueille-la-difference,"                                  Associations & handicap  
                                         Sports & Loisirs  
                                         Vie culturelle  
                                         Vie quotidienne & pratique  
                       
                  "
1,https://www.halte-pouce.fr/ressources/centre-de-pleine-nature-station-cevennes,"                                  Associations & handicap  
                                         Sports & Loisirs  
                                         Vacances  
                       
                  "
2,https://www.halte-pouce.fr/ressources/sensas-un-lieu-unique-pour-mettre-vos-5-sens-a-lepreuve-en-famille-et-soutenir-halte-pouce,"                                  Sports & Loisirs  
                       
                  "
3,https://www.halte-pouce.fr/ressources/un-cafe-asperger-un-mardi-sur-deux-a-montpellier,"                                  Associations & handicap  
                                         Vie culturelle  
                       
                  "
4,https://www.halte-pouce.fr/ressources/Piscine-et-handicap-a-Montpellier,"                                  Sports & Loisirs  
                       
                  "
5,https://www.halte-pouce.fr/ressources/Association-Mohicans,"                                  Sports & Loisirs  
                       
                  "
6,https://www.halte-pouce.fr/ressources/au-pays-des-carrioles-un-parc-de-loisirs-insolite-et-accessible-a-la-boissiere,"                                  Sports & Loisirs  
                       
                  "
7,https://www.halte-pouce.fr/ressources/lassociation-un-sourire-en-chantant,"                                  Associations & handicap  
                                         Sports & Loisirs  
                       
                  "
8,https://www.halte-pouce.fr/ressources/association-saudade-des-ateliers-ouverts-a-toutes-les-differences,"                                  Associations & handicap  
                                         Scolarité  
                                         Sports & Loisirs  
                                         Vie quotidienne & pratique  
                       
                  "
9,https://www.halte-pouce.fr/ressources/ateliers-adaptes-tous-handicaps-a-teyran,"                                  Associations & handicap  
                                         Sports & Loisirs  
                                         Vie culturelle  
                       
                  "
10,https://www.halte-pouce.fr/ressources/montpellier-club-handisport-mch-34-tous-faits-pour-le-sport,"                                  Sports & Loisirs  
                       
                  "
11,https://www.halte-pouce.fr/ressources/balades-adaptees-a-dos-danes-association-handiane,"                                  Sports & Loisirs  
                       
                  "
12,https://www.halte-pouce.fr/ressources/parentalite-34,"                                  Associations & handicap  
                                         Vie quotidienne & pratique  
                       
                  "
13,https://www.halte-pouce.fr/ressources/association-yarrivarem-34,"                                  Associations & handicap  
                                         Sports & Loisirs  
                                         Vie culturelle  
                       
                  "
14,https://www.halte-pouce.fr/ressources/association-mozaik-danse,"                                  Associations & handicap  
                                         Sports & Loisirs  
                       
                  "
15,https://www.halte-pouce.fr/ressources/association-apedys-herault-association-regionale-de-parents-denfants-et-dadultes-dyslexiques,"                                  Associations & handicap  
                       
                  "
16,https://www.halte-pouce.fr/ressources/lassociation-pic-autisme-trisomie-dans-lherault,"                                  Associations & handicap  
                                         Modes d’accueils alternatifs  
                       
                  "
17,https://www.halte-pouce.fr/ressources/association-caravane-34,"                                  Sports & Loisirs  
                       
                  "
18,https://www.halte-pouce.fr/ressources/L-association-OZ-a-Sete,"                                  Sports & Loisirs  
                                         Vie culturelle  
                       
                  "
19,https://www.halte-pouce.fr/ressources/association-beau-nez-dAne,"                                  Associations & handicap  
                                         Sports & Loisirs  
                                         Vacances  
                       
                  "
20,https://www.halte-pouce.fr/ressources/Equitherapie-a-gignac,"                                  Associations & handicap  
                                         Sports & Loisirs  
                                         Vacances  
                       
                  "
21,https://www.halte-pouce.fr/ressources/des-cours-adaptes-de-cirque-avec-zepetra-a-castelnau-le-lez,"                                  Associations & handicap  
                                         Sports & Loisirs  
                                         Vacances  
                       
                  "
22,https://www.halte-pouce.fr/ressources/handi-musique-sur-montpellier-avec-musika,"                                  Associations & handicap  
                                         Sports & Loisirs  
                                         Vie culturelle  
                       
                  "
23,https://www.halte-pouce.fr/ressources/association-musique-et-handicaps-mediterranee-a-montpellier,"                                  Associations & handicap  
                                         Sports & Loisirs  
                                         Vie culturelle  
                       
                  "
24,https://www.halte-pouce.fr/ressources/equitherapie-mediation-animale-a-gignac-34,"                                  Associations & handicap  
                                         Modes d’accueils alternatifs  
                                         Sports & Loisirs  
                                         Vacances  
                       
                  "
25,https://www.halte-pouce.fr/ressources/association-dyspraxique-mais-fantastique-34-dmf34,"                                  Associations & handicap  
                       
                  "
