,Site,Tag
0,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-alexandre-jollien-anciennement-lamalou-le-haut.html,"
Type de déficience :
                                
                                Déficience motrice avec troubles associés ; 
                            
                                Séquelles de traumatisme crânien
                            
                            "
1,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-apard-centre-apighrem.html,Observations : Déficience motrice avec troubles respiratoires
2,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-camille-claudel.html,"
Type de déficience :
                                
                                Déficience intellectuelle avec troubles associés ; 
                            
                                Troubles Envahissants du Développement (TED) dont autisme
                            
                            "
3,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-centre-saint-pierre.html,"
Type de déficience :
                                
                                Déficience motrice avec troubles associés
                            
                            "
4,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-de-montfloures.html,"
Type de déficience :
                                
                                Déficiences intellectuelles ; 
                            
                                Polyhandicap
                            
                            "
5,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-du-centre-paul-coste-floret.html,"
Type de déficience :
                                
                                Etat végétatif persistant
                            
                            "
6,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-fontcolombe.html,"
Type de déficience :
                                
                                Troubles du caractère et du comportement ; 
                            
                                Troubles Envahissants du Développement (TED) dont autisme
                            
                            "
7,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-la-parage.html,"
Type de déficience :
                                
                                Déficience intellectuelle (moyenne à sévère) ; 
                            
                                Déficience intellectuelle avec troubles associés
                            
                            "
8,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-les-soleils-anciennement-propara.html,"
Type de déficience :
                                
                                Déficiences motrices ; 
                            
                                Polyhandicap
                            
                            "
9,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-pays-de-thau.html,"
Type de déficience :
                                
                                Déficience intellectuelle (moyenne à sévère) ; 
                            
                                Déficience intellectuelle avec troubles associés
                            
                            "
10,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-perce-neige.html,"
Type de déficience :
                                
                                Polyhandicap
                            
                            "
11,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/mas-saint-vital.html,"
Type de déficience :
                                
                                Déficience motrice avec ou sans troubles associés
                            
                            "
12,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-apard-centre-apighrem.html,"
Type de déficience :
                                
                                Déficience motrice avec troubles associés ; 
                            
                                Polyhandicap
                            
                            "
13,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-archipel-de-massane.html,"
Type de déficience :
                                
                                Déficiences intellectuelles
                            
                            "
14,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-centre-saint-pierre.html,"
Type de déficience :
                                
                                Déficience motrice avec troubles associés
                            
                            "
15,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-de-montfloures.html,"
Type de déficience :
                                
                                Déficience intellectuelle avec troubles associés
                            
                            "
16,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-domaine-de-la-bruyere.html,"
Type de déficience :
                                
                                Troubles psychopathologiques
                            
                            "
17,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-du-millenaire.html,"Observations : Avoir un projet d'insertion scolaire, universitaire ou professionnel"
18,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-frescatis.html,"
Type de déficience :
                                
                                Troubles du caractère et du comportement ; 
                            
                                Troubles Envahissants du Développement (TED) dont autisme
                            
                            "
19,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-isabelle-marie.html,"
Type de déficience :
                                
                                Déficience intellectuelle (moyenne à sévère)
                            
                            "
20,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-le-guilhem.html,"
Type de déficience :
                                
                                Déficience intellectuelle (moyenne à sévère) ; 
                            
                                Déficience intellectuelle avec troubles associés
                            
                            "
21,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-le-hameau-des-horizons.html,"
Type de déficience :
                                
                                Déficience intellectuelle (moyenne à sévère) ; 
                            
                                Déficience intellectuelle avec troubles associés ; 
                            
                                Troubles psychopathologiques
                            
                            "
22,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-les-coteaux-de-sesame.html,"
Type de déficience :
                                
                                Troubles Envahissants du Développement (TED) dont autisme
                            
                            "
23,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-les-fontaines-do.html,"
Type de déficience :
                                
                                Déficience grave du psychisme consécutive à lésion cérébrale
                            
                            "
24,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-les-iv-seigneurs.html,"
Type de déficience :
                                
                                Déficience intellectuelle (moyenne à sévère) ; 
                            
                                Polyhandicap
                            
                            "
25,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-maison-perce-neige.html,"
Type de déficience :
                                
                                Polyhandicap
                            
                            "
26,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-robert-faliu.html,"
Type de déficience :
                                
                                Déficience intellectuelle avec troubles associés
                            
                            "
27,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/fam-structure-henri-wallon.html,"
Type de déficience :
                                
                                Troubles psychopathologiques
                            
                            "
28,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-archipel-de-massane.html,"
Type de déficience :
                                
                                Déficience intellectuelle avec ou sans troubles associés
                            
                            "
29,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-cantaussels-internat.html,Observations : L'hébergement est assuré au foyer de Cantaussels à Nissan-lez-Ensérune et au sein de la Résidence Argence à Béziers.
30,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-cantaussels-montfloures.html,"Observations : Foyer de vie à Nissan-Lez-Ensérune
Accueil de jour : Traverse de Colombiers à Béziers."
31,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-centre-herault.html,"Observations : Foyer de vie à Nézignan l'Evêque.
Accueil de Jour : 12, rue René Laënnec - BP 100 - 34120 Pézenas."
32,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-daniel-mayer.html,"
Type de déficience :
                                
                                Déficiences intellectuelles ; 
                            
                                Troubles psychopathologiques
                            
                            "
33,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-espace-camille-claudel.html,"
Type de déficience :
                                
                                Déficience intellectuelle avec ou sans troubles associés
                            
                            "
34,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-frescatis.html,"
Type de déficience :
                                
                                Déficience intellectuelle avec ou sans troubles associés ; 
                            
                                Troubles psychopathologiques
                            
                            "
35,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-henri-wallon.html,"
Type de déficience :
                                
                                Troubles psychopathologiques
                            
                            "
36,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-isabelle-marie.html,"
Type de déficience :
                                
                                Déficiences intellectuelles
                            
                            "
37,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-jean-piaget.html,"
Type de déficience :
                                
                                Déficiences intellectuelles
                            
                            "
38,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-lhorizon.html,"
Type de déficience :
                                
                                Déficience intellectuelle avec ou sans troubles associés
                            
                            "
39,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-le-parc-internat.html,"
Type de déficience :
                                
                                Déficiences intellectuelles
                            
                            "
40,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-les-aramons.html,"
Type de déficience :
                                
                                Déficiences intellectuelles
                            
                            "
41,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-les-terres-blanches-externat.html,"
Type de déficience :
                                
                                Déficiences intellectuelles
                            
                            "
42,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-de-vie-marquerose-internat.html,Observations : Hébergement sans activité de journée.
43,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-esat-centre-herault.html,Commentaires : Travailleurs en ESAT
44,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-esat-du-plateau-des-lacs.html,Commentaires : Travailleurs en ESAT
45,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-esat-le-roc-castel.html,Commentaires : Travailleurs  en ESAT
46,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-esat-les-compagnons-de-maguelone.html,Commentaires : Travailleurs en ESAT
47,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-esat-les-hautes-garrigues.html,Commentaires : Travailleurs de l'ESAT
48,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-esat-les-lavandes.html,Commentaires : Travailleurs en ESAT ou en Entreprise Adaptée
49,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-esat-pays-de-thau.html,Commentaires : Travailleurs en ESAT
50,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-esat-robert-badinter.html,Observations : Travailleurs en ESAT
51,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-esat-robert-faliu.html,Commentaires : Travailleurs en ESAT
52,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-esat-severine.html,Commentaires : TRAVAILLEURS ESAT
53,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-esat-thierry-albouy.html,Observations : Travailleurs en ESAT
54,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-logement-les-ecureuils.html,Observations : Travailleurs en ESAT
55,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-logement-henri-wallon.html,"
Type de déficience :
                                
                                Troubles psychopathologiques
                            
                            "
56,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-logement-le-bouquet-des-garrigues.html,Commentaires : Travailleurs en ESAT ou Entreprise Adaptée
57,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-logement-le-colibri.html,Commentaires : Travailleurs en ESAT ou Entreprise Adaptée
58,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-logement-les-compagnons-de-maguelone.html,Observations : Travailleurs en ESAT
59,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-logement-les-grands-arbres.html,"
Type de déficience :
                                
                                Déficience motrice avec troubles associés
                            
                            "
60,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-logement-les-hautes-garrigues.html,Observations : Travailleurs en ESAT
61,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-logement-ma-residence.html,Commentaires : Travailleurs en ESAT ou entreprise adaptée.
62,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/foyer-logement-plaisance.html,Observations : Travailleurs en ESAT
63,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/esat-apf.html,"Activités : Travaux de conditionnement, montage mécanique, numérisation, prestations de services : mise sous-pli, tri de courrier,..."
