,Site,Tag
0,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/camsp-de-beziers.html,"
Type de déficience :
                                
                                Déficiences auditives ; 
                            
                                Troubles Spécifiques du Langage
                            
                            "
1,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/camsp-de-montpellier-lunel.html,"
Type de déficience :
                                
                                Tout handicap ; 
                            
                                Déficiences motrices ; 
                            
                                Déficiences intellectuelles ; 
                            
                                Déficiences auditives ; 
                            
                                Déficiences visuelles ; 
                            
                                Déficiences du psychisme
                            
                            "
2,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/camsp-equinoxe-sete.html,"
Type de déficience :
                                
                                Tout handicap ; 
                            
                                Déficiences motrices ; 
                            
                                Déficiences intellectuelles ; 
                            
                                Déficiences auditives ; 
                            
                                Déficiences visuelles ; 
                            
                                Déficiences du psychisme
                            
                            "
3,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/cmpp-de-beziers.html,Commentaires : Enfants présentant des difficultés relevant d'un soin médico-psychologique
4,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/cmpp-de-sete.html,"
Type de déficience :
                                
                                Tout handicap
                            
                            "
5,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/cmpp-marcel-foucault.html,Commentaires : Enfants présentant des difficultés relevant d'un soin médico-psychologique
6,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-du-centre-medical-et-educatif-de-lenfance-fontcaude.html,Effectifs : 56 EXTERNES - 8 INTERNES
7,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-du-chateau-do.html,Effectifs : 40 INTERNES - 51 SEMI-INTERNES
8,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-institut-raymond-fages.html,Effectifs : 36 SEMI INTERNES
9,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-institut-saint-hilaire.html,Effectifs : 42 INTERNES - 12 SEMI INTERNES
10,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-lensoleillade.html,Effectifs : 20 INTERNES - 27 EXTERNES
11,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-la-corniche.html,Effectifs : 15 INTERNES - 31 SEMI INTERNES
12,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-la-maison-de-soln.html,Effectifs : 14 INTERNES - 36 SEMI INTERNES
13,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-la-pinede.html,"Effectifs : 43 SEMI-INTERNES
10 INTERNES"
14,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-les-hirondelles.html,Effectifs : 65 EXTERNES
15,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-les-hirondelles-pays-de-thau.html,Effectifs : 40 SEMI INTERNES
16,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-les-muriers.html,Effectifs : 32 INTERNES - 27 EXTERNES
17,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-les-oliviers.html,Effectifs : 10 INTERNES - 60 SEMI-INTERNES (dont 14 en TED)
18,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-les-pescalunes.html,Effectifs : 47 EXTERNES
19,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/ime-notre-dame-de-la-salette.html,Effectifs : 19 INTERNES - 15 SEMI INTERNES
20,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/itep-centre-bourneville.html,Effectifs : 42 INTERNES - 33 SEMI INTERNES - 3 PLACEMENTS FAMILIAUX SPECIALISES - 2 ACCUEILS TEMPORAIRES
21,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/itep-institut-campestre.html,Effectifs : 26 INTERNES - 20 EXTERNES
