,Unnamed: 0,SECTEUR,SOUS-SECTEUR,CIBLE,AGE-MIN,AGE-MAX,NOM,ADRESSE,LATITUDE,LONGITUDE,MAIL,TELEPHONE,LIEN,Longitude,Latitude,Adresse
0,0,SANITAIRE,,ENFANT,,,CAMSP DE BEZIERS,CENTRE EDUCATIF ET MEDICAL AVENUE DE MONSEIGNEUR COSTE 34500 BEZIERS,,,,04 67 30 43 21,,3.251712,43.34269,"Avenue Monseigneur Coste, 34500 Béziers"
1,1,SANITAIRE,,ENFANT,,,CAMSP DE MONTPELLIER / LUNEL,HOPITAL ST ELOI - 80 AVENUE AUGUSTIN FLICHE 34295 MONTPELLIER,,,,04 67 33 68 63,,3.861329,43.629624,"80 Avenue Augustin Fliche, 34090 Montpellier"
2,2,SANITAIRE,,ENFANT,,,CAMSP EQUINOXE - SETE,"62, BOULEVARD CAMILLE BLANC 34200 SETE",,,,04 67 18 56 01,,3.666941,43.407307,"62 Boulevard Camille Blanc, 34200 Sète"
3,3,SANITAIRE,,ENFANT,,,CMPP DE BEZIERS,CENTRE EDUCATIF ET MEDICAL AVENUE DE MONSEIGNEUR COSTE 34500 BEZIERS,,,,04 99 43 00 17,,3.251712,43.34269,"Avenue Monseigneur Coste, 34500 Béziers"
4,4,SANITAIRE,,ENFANT,,,CMPP DE SETE,"VILLA MALIBRAN  441 BIS, CHEMIN DES CARRIERES 34200 SETE",,,,04 67 53 16 22,,3.670864,43.3973,"441 b Chemin des Carrieres, 34200 Sète"
5,5,ÉTABLISSEMENTS,,ENFANT,,,CMPP MARCEL FOUCAULT,"RESIDENCE LE DIAMANT - BATIMENT B  419, RUE LEON BLUM 34000 MONTPELLIER",,,,04 67 61 08 20,,3.890873,43.609875,"Rue Léon Blum, 34000 Montpellier"
6,6,ÉTABLISSEMENTS,,ENFANT,,,CMPP MARCEL FOUCAULT - LUNEL,450 AVENUE DES ABRIVADOS 34400 LUNEL,,,,04 99 54 90 10,,4.1282,43.669302,"450 Avenue des Abrivados, 34400 Lunel"
7,7,ÉTABLISSEMENTS,,ENFANT,,,CMPP PAYS COEUR DHERAULT,"230, AVENUE DU MAS SALAT 34150 GIGNAC",,,,04 67 12 81 92,,3.544416,43.657855,"Avenue du Mas Salat, 34150 Gignac"
8,8,ÉTABLISSEMENTS,,ENFANT,,,IME DU CENTRE MEDICAL ET EDUCATIF DE LENFANCE FONTCAUDE,"70, RUE TIPASA 34080 MONTPELLIER",,,,04 67 10 23 00,,3.816671,43.629068,"70 Rue de Tipasa, 34080 Montpellier"
9,9,ÉTABLISSEMENTS,,ENFANT,,,IME DU CHATEAU DO,"2359, AVENUE DU PERE SOULAS 34094 MONTPELLIER CEDEX 5",,,,04 67 63 18 92,,3.844616,43.629154,"2359 Avenue du Père Soulas, 34090 Montpellier"
10,10,ÉTABLISSEMENTS,,ENFANT,,,IME INSTITUT RAYMOND FAGES,CHEMIN RAYMOND FAGES 34300 AGDE,,,,04 67 01 05 20,,3.483299,43.295653,"Chemin Raymond Fages, 34300 Agde"
11,11,ÉTABLISSEMENTS,,ENFANT,,,IME INSTITUT SAINT HILAIRE,12 AVENUE ALEXANDRE LAVAL 34510 FLORENSAC,,,,04 67 77 00 01,,3.463445,43.385579,"12 Avenue Alexandre Laval, 34510 Florensac"
12,12,ÉTABLISSEMENTS,,ENFANT,,,IME LENSOLEILLADE,55 AVENUE DE MONTPELLIER  - BP 52 34725 SAINT ANDRE DE SANGONIS,,,,04 67 57 00 46,,3.508205,43.6504,"55 Avenue de Montpellier, 34725 Saint-André-de-Sangonis"
13,13,ÉTABLISSEMENTS,,ENFANT,,,IME LA CORNICHE,"16 BIS, BOULEVARD JOLIOT CURIE 34200 SETE",,,,04 67 51 28 29,,3.670316,43.395983,"16 bis Boulevard Joliot Curie, 34200 Sète"
14,14,ÉTABLISSEMENTS,,ENFANT,,,IME LA MAISON DE SOLN,"18, AVENUE DE LA GARE 34440 NISSAN LEZ ENSERUNE",,,,04 67 11 85 20,,3.125902,43.291159,"18 Avenue de la Gare, 34440 Nissan-lez-Enserune"
15,15,ÉTABLISSEMENTS,,ENFANT,,,IME LA PINEDE,AVENUE CYPRIEN OLIVIER 34830 JACOU,,,,04 67 59 11 78,,3.908847,43.663701,"Avenue Cyprien Olivier, 34830 Jacou"
16,16,ÉTABLISSEMENTS,,ENFANT,,,IME LES HIRONDELLES,"11, AVENUE DU STADE 34410 SAUVIAN",,,,04 67 32 19 06,,3.254113,43.29258,"11 Avenue du Stade, 34410 Sauvian"
17,17,ÉTABLISSEMENTS,,ENFANT,,,IME LES HIRONDELLES PAYS DE THAU,RUE DES LIERLES CS 97001 34115 FRONTIGNAN CEDEX,,,,04 67 46 62 38,,3.727621,43.427074,"Rue des Lierles, 34110 Frontignan"
18,18,ÉTABLISSEMENTS,,ENFANT,,,IME LES MURIERS,"1804, AVENUE DU PERE SOULAS 34090 MONTPELLIER",,,,04 67 63 13 48,,3.84971,43.625814,"1804 Avenue du Père Soulas, 34090 Montpellier"
19,19,ÉTABLISSEMENTS,,ENFANT,,,IME LES OLIVIERS,"695, RUE DES BOUISSES 34070 MONTPELLIER",,,,04 67 13 23 40,,3.833702,43.601975,"695 Rue des Bouisses, 34070 Montpellier"
20,20,ÉTABLISSEMENTS,,ENFANT,,,IME LES PESCALUNES,111 RUE DES NEFLIERS 34400 LUNEL,,,,04 67 83 87 57,,4.12442,43.688296,"111 Rue des Nefliers, 34400 Lunel"
21,21,ÉTABLISSEMENTS,,ENFANT,,,IME NOTRE DAME DE LA SALETTE,"2, RUE DU PUECH DU FOUR - BP 34 34600 BEDARIEUX",,,,04 67 95 59 05,,3.160379,43.613446,"2 Rue Puech du Four, 34600 Bédarieux"
22,22,ÉTABLISSEMENTS,,ENFANT,,,ITEP CENTRE BOURNEVILLE,"120, RUE DU MAS PRUNET 34070 MONTPELLIER",,,,04 67 42 43 66,,3.833975,43.599346,"120 Rue du Mas de Prunet, 34070 Montpellier"
23,23,ÉTABLISSEMENTS,,ENFANT,,,ITEP INSTITUT CAMPESTRE,"1120, ROUTE DE BEDARIEUX 34700 LODEVE",,,,04 67 44 23 44,,3.286123,43.731518,"1120 Route de Bedarieux, 34700 Lodève"
24,24,ÉTABLISSEMENTS,,ENFANT,,,ITEP LA CORNICHE,"16 BIS, BOULEVARD JOLIOT CURIE 34200 SETE",,,,04 67 51 28 29,,3.670316,43.395983,"16 bis Boulevard Joliot Curie, 34200 Sète"
25,25,ÉTABLISSEMENTS,,ENFANT,,,ITEP LE LANGUEDOC,38 RUE DU MAZET - MAS PRUNET 34070 MONTPELLIER,,,,04 67 42 45 44,,3.833975,43.599346,"Rue du Mas de Prunet, 34070 Montpellier"
26,26,ÉTABLISSEMENTS,,ENFANT,,,ITEP MONT-LOZERE,"74, RUE MICHELINE OSTERMEYER 34500 BEZIERS",,,,04 67 31 87 40,,3.225163,43.362358,"74 Rue Micheline Ostermeyer, 34500 Béziers"
27,27,ÉTABLISSEMENTS,,ENFANT,,,ITEP NAZARETH,"13, RUE DE NAZARETH 34093 MONTPELLIER",,,,04 99 58 21 21,,3.881696,43.622161,"13 Rue de Nazareth, 34090 Montpellier"
28,28,ACCUEILS ALTERNATIFS,,ENFANT,,,ACCUEIL ADOLESCENTS SESAME - LOUSTAL DE SESAME," 31, AVENUE DE LOCCITANIE 34310 CAPESTANG""",,,,04 67 93 31 02,,3.047854,43.329872,"31 Avenue de l'Occitanie, 34310 Capestang"
29,29,ACCUEILS ALTERNATIFS,,ENFANT,,,ACCUEIL ADOLESCENTS SESAME - LA MAISON DE MANON,"22, RUE DES ROMARINS 34990 JUVIGNAC",,,,04 67 40 52 01,,3.812822,43.614548,"22 Rue du Romarin, 34990 Juvignac"
30,30,ACCUEILS ALTERNATIFS,,ENFANT,,,CENTRE DEDUCATION SPECIALISE POUR DEFICIENTS AUDITIFS (CESDA 34),14 RUE SAINT-VINCENT-DE-PAUL 34090 MONTPELLIER,,,,04 67 02 99 00,,3.875509,43.621278,"14 Rue Saint Vincent de Paul, 34090 Montpellier"
31,31,ACCUEILS ALTERNATIFS,,ENFANT,,,CENTRE DEDUCATION SPECIALISEE POUR DEFICIENTS AUDITIFS (CESDA 34),"14, RUE SAINT VINCENT DE PAUL 34090 MONTPELLIER",,,,04 67 02 99 00,,3.875509,43.621278,"14 Rue Saint Vincent de Paul, 34090 Montpellier"
