SECTEUR;SOUS-SECTEUR;CIBLE;AGE-MIN;AGE-MAX;NOM;ADRESSE;LATITUDE;LONGITUDE;MAIL;TELEPHONE;LIEN
SANITAIRE;;Enfant;;;CAMSP DE BEZIERS;CENTRE EDUCATIF ET MEDICAL AVENUE DE MONSEIGNEUR COSTE 34500 BEZIERS;;;;04 67 30 43 21;
SANITAIRE;;Enfant;;;CAMSP DE MONTPELLIER / LUNEL;HOPITAL ST ELOI - 80 AVENUE AUGUSTIN FLICHE 34295 MONTPELLIER;;;;04 67 33 68 63;
SANITAIRE;;Enfant;;;CAMSP EQUINOXE - SETE;62, BOULEVARD CAMILLE BLANC 34200 SETE;;;;04 67 18 56 01;
SANITAIRE;;Enfant;;;CMPP DE BEZIERS;CENTRE EDUCATIF ET MEDICAL AVENUE DE MONSEIGNEUR COSTE 34500 BEZIERS;;;;04 99 43 00 17;
SANITAIRE;;Enfant;;;CMPP DE SETE;VILLA MALIBRAN  441 BIS, CHEMIN DES CARRIERES 34200 SETE;;;;04 67 53 16 22;
ÉTABLISSEMENTS;;Enfant;;;CMPP MARCEL FOUCAULT;RESIDENCE LE DIAMANT - BATIMENT B  419, RUE LEON BLUM 34000 MONTPELLIER;;;;04 67 61 08 20;
ÉTABLISSEMENTS;;Enfant;;;CMPP MARCEL FOUCAULT - LUNEL;450 AVENUE DES ABRIVADOS 34400 LUNEL;;;;04 99 54 90 10;
ÉTABLISSEMENTS;;Enfant;;;CMPP PAYS COEUR DHERAULT;230, AVENUE DU MAS SALAT 34150 GIGNAC;;;;04 67 12 81 92;
ÉTABLISSEMENTS;;Enfant;;;IME DU CENTRE MEDICAL ET EDUCATIF DE LENFANCE FONTCAUDE;70, RUE TIPASA 34080 MONTPELLIER;;;;04 67 10 23 00;
ÉTABLISSEMENTS;;Enfant;;;IME DU CHATEAU DO;2359, AVENUE DU PERE SOULAS 34094 MONTPELLIER CEDEX 5;;;;04 67 63 18 92;
ÉTABLISSEMENTS;;Enfant;;;IME INSTITUT RAYMOND FAGES;CHEMIN RAYMOND FAGES 34300 AGDE;;;;04 67 01 05 20;
ÉTABLISSEMENTS;;Enfant;;;IME INSTITUT SAINT HILAIRE;12 AVENUE ALEXANDRE LAVAL 34510 FLORENSAC;;;;04 67 77 00 01;
ÉTABLISSEMENTS;;Enfant;;;IME LENSOLEILLADE;55 AVENUE DE MONTPELLIER  - BP 52 34725 SAINT ANDRE DE SANGONIS;;;;04 67 57 00 46;
ÉTABLISSEMENTS;;Enfant;;;IME LA CORNICHE;16 BIS, BOULEVARD JOLIOT CURIE 34200 SETE;;;;04 67 51 28 29;
ÉTABLISSEMENTS;;Enfant;;;IME LA MAISON DE SOLN;18, AVENUE DE LA GARE 34440 NISSAN LEZ ENSERUNE;;;;04 67 11 85 20;
ÉTABLISSEMENTS;;Enfant;;;IME LA PINEDE;AVENUE CYPRIEN OLIVIER 34830 JACOU;;;;04 67 59 11 78;
ÉTABLISSEMENTS;;Enfant;;;IME LES HIRONDELLES;11, AVENUE DU STADE 34410 SAUVIAN;;;;04 67 32 19 06;
ÉTABLISSEMENTS;;Enfant;;;IME LES HIRONDELLES PAYS DE THAU;RUE DES LIERLES CS 97001 34115 FRONTIGNAN CEDEX;;;;04 67 46 62 38;
ÉTABLISSEMENTS;;Enfant;;;IME LES MURIERS;1804, AVENUE DU PERE SOULAS 34090 MONTPELLIER;;;;04 67 63 13 48;
ÉTABLISSEMENTS;;Enfant;;;IME LES OLIVIERS;695, RUE DES BOUISSES 34070 MONTPELLIER;;;;04 67 13 23 40;
ÉTABLISSEMENTS;;Enfant;;;IME LES PESCALUNES;111 RUE DES NEFLIERS 34400 LUNEL;;;;04 67 83 87 57;
ÉTABLISSEMENTS;;Enfant;;;IME NOTRE DAME DE LA SALETTE;2, RUE DU PUECH DU FOUR - BP 34 34600 BEDARIEUX;;;;04 67 95 59 05;
ÉTABLISSEMENTS;;Enfant;;;ITEP CENTRE BOURNEVILLE;120, RUE DU MAS PRUNET 34070 MONTPELLIER;;;;04 67 42 43 66;
ÉTABLISSEMENTS;;Enfant;;;ITEP INSTITUT CAMPESTRE;1120, ROUTE DE BEDARIEUX 34700 LODEVE;;;;04 67 44 23 44;
ÉTABLISSEMENTS;;Enfant;;;ITEP LA CORNICHE;16 BIS, BOULEVARD JOLIOT CURIE 34200 SETE;;;;04 67 51 28 29;
ÉTABLISSEMENTS;;Enfant;;;ITEP LE LANGUEDOC;38 RUE DU MAZET - MAS PRUNET 34070 MONTPELLIER;;;;04 67 42 45 44;
ÉTABLISSEMENTS;;Enfant;;;ITEP MONT-LOZERE;74, RUE MICHELINE OSTERMEYER 34500 BEZIERS;;;;04 67 31 87 40;
ÉTABLISSEMENTS;;Enfant;;;ITEP NAZARETH;13, RUE DE NAZARETH 34093 MONTPELLIER;;;;04 99 58 21 21;
ACCUEILS ALTERNATIFS;;Enfant;;;ACCUEIL ADOLESCENTS SESAME - LOUSTAL DE SESAME;" 31, AVENUE DE LOCCITANIE 34310 CAPESTANG""";;;;04 67 93 31 02;
