;SECTEUR;SOUS-SECTEUR;CIBLE;AGE-MIN;AGE-MAX;NOM;ADRESSE;LATITUDE;LONGITUDE;MAIL;TELEPHONE;LIEN;TAG;
0;SANITAIRE;;ENFANT;;;CAMSP DE BEZIERS;Avenue Monseigneur Coste, 34500 Béziers;43.34269000000001;3.251712;;04 67 30 43 21;;sanitaire;
1;SANITAIRE;;ENFANT;;;CAMSP DE MONTPELLIER / LUNEL;80 Avenue Augustin Fliche, 34090 Montpellier;43.629624;3.861329;;04 67 33 68 63;;sanitaire;
2;SANITAIRE;;ENFANT;;;CAMSP EQUINOXE - SETE;62 Boulevard Camille Blanc, 34200 Sète;43.407307;3.666941000000001;;04 67 18 56 01;;sanitaire;
3;SANITAIRE;;ENFANT;;;CMPP DE BEZIERS;Avenue Monseigneur Coste, 34500 Béziers;43.34269000000001;3.251712;;04 99 43 00 17;;sanitaire;doublon
4;SANITAIRE;;ENFANT;;;CMPP DE SETE;441 b Chemin des Carrieres, 34200 Sète;43.3973;3.670864;;04 67 53 16 22;;sanitaire;
5;ÉTABLISSEMENTS;;ENFANT;;;CMPP MARCEL FOUCAULT;Rue Léon Blum, 34000 Montpellier;43.609875;3.890873000000001;;04 67 61 08 20;;sanitaire;
6;ÉTABLISSEMENTS;;ENFANT;;;CMPP MARCEL FOUCAULT - LUNEL;450 Avenue des Abrivados, 34400 Lunel;43.669302;4.1282;;04 99 54 90 10;;sanitaire;
7;ÉTABLISSEMENTS;;ENFANT;;;CMPP PAYS COEUR DHERAULT;Avenue du Mas Salat, 34150 Gignac;43.657855;3.5444160000000005;;04 67 12 81 92;;sanitaire;
8;ÉTABLISSEMENTS;;ENFANT;;;IME DU CENTRE MEDICAL ET EDUCATIF DE LENFANCE FONTCAUDE;70 Rue de Tipasa, 34080 Montpellier;43.629068;3.816671;;04 67 10 23 00;;scolaire;
9;ÉTABLISSEMENTS;;ENFANT;;;IME DU CHATEAU DO;2359 Avenue du Père Soulas, 34090 Montpellier;43.629154;3.844616;;04 67 63 18 92;;scolaire;
10;ÉTABLISSEMENTS;;ENFANT;;;IME INSTITUT RAYMOND FAGES;Chemin Raymond Fages, 34300 Agde;43.295653;3.483299;;04 67 01 05 20;;scolaire;
11;ÉTABLISSEMENTS;;ENFANT;;;IME INSTITUT SAINT HILAIRE;12 Avenue Alexandre Laval, 34510 Florensac;43.385579;3.463445;;04 67 77 00 01;;scolaire;
12;ÉTABLISSEMENTS;;ENFANT;;;IME LENSOLEILLADE;55 Avenue de Montpellier, 34725 Saint-André-de-Sangonis;43.6504;3.508205;;04 67 57 00 46;;scolaire;
13;ÉTABLISSEMENTS;;ENFANT;;;IME LA CORNICHE;16 bis Boulevard Joliot Curie, 34200 Sète;43.395983;3.670316;;04 67 51 28 29;;scolaire;
