;SECTEUR;SOUS-SECTEUR;CIBLE;NOM;ADRESSE;MAIL;LIEN
0;SANITAIRE;;ENFANT;CAMSP BÉZIERS;AVENUE DE MONSEIGNEUR COSTE 34500 BEZIERS;camsp.beziers@ugecam-lrmp.fr;
1;SANITAIRE;;ENFANT;CAMSP MTP CHU;HÔPITAL SAINT ELOI 80 AVENUE AUGUSTIN FLICHE 34295 MONTPELLIER;camps@chu-montpellier.fr;
2;SANITAIRE;;ENFANT;CAMSP SÈTE;62 BOULEVARD CAMILLE BLANC 34200 SETE;camspequinoxe.sete@ugecam-lrmp.fr;
3;SANITAIRE;;ENFANT;CMPP BÉZIERS;AVENUE DE MONSEIGNEUR COSTE 34500 BEZIERS;cmpp.beziers@ugecam-lrmp.fr;
4;SANITAIRE;;ENFANT;CMPP MARCEL FOULCAULT;RESIDENCE LE DIAMANT BT B 419 RUE LEON BLUM 34000 MONTPELLIER;cmpp.a1@adages.net;
5;SANITAIRE;;ENFANT;CMPP MARCEL FOULCAULT;450 AVENUES DES ABRIVADOS 34400 LUNEL;;
6;SANITAIRE;;ENFANT;CMPP PAYS CŒUR D'HERAULT;230 AVENUE DU MAS SALAT 34150 GIGNAC;;
7;SANITAIRE;;ENFANT;CMPP SETE;VILLA MALIBRAN 441 CHEMIN DES CARRIERES 34200 SETE;cmppsete@orange.fr;
8;ÉTABLISSEMENTS;;ENFANT;EEAP COSTE ROUSSE;43 AVENUE DES BARONNES 34730 PRADES LE LEZ;costerousse@adages.net;
9;ÉTABLISSEMENTS;;ENFANT;IEM ALEXANDRE JOLLIEN;8 PLACE GENERAL DE GAULLE 34240 LAMALOU LES BAINS;;
10;ÉTABLISSEMENTS;;ENFANT;IEM LA CIGALE;250 AVE VILLARD DE HONNECOURT 30900 NIMES;;
11;ÉTABLISSEMENTS;;ENFANT;IME LA CARDABELLE;21 AVENUE CASTELNAU 34090 MONTPELLIER;La Cardabelle <la-cardabelle@orange.fr>;
12;ÉTABLISSEMENTS;;ENFANT;IME LA SALETTE;2 RUE PUECH DU FOUR 34600 BEDARIEUX;ime.ndlasallette@apeaiouestherault.fr;
13;ÉTABLISSEMENTS;;ENFANT;IME LA PINÈDE;AVENUE CYRIEN OLIVIER 34830 JACOU;ime@lapinede.org;
14;ÉTABLISSEMENTS;;ENFANT;IME PESCALUNES;111 RUE DES NEFLIERS 34400 LUNEL;imp-pescalunes@apei-grandmontpellier.org;
15;ÉTABLISSEMENTS;;ENFANT;IME FONTCAUDE;70 RUE DU TIPAZA 34080 MONTPELLIER;accueil.fontcaude@ugecam-lrmp.fr;
16;ÉTABLISSEMENTS;;ENFANT;IME CHATEAU D'O;2539 AVENUE PÈRE SOULAS 34000 MONTPELLIER;ime-chateaudo@apei-grandmontpellier.org;
17;ÉTABLISSEMENTS;;ENFANT;IME LES MURIERS;1804 AVENUE PÈRE  SOULAS 34000 MONTPELLIER;ime-lesmuriers@apei-grandmontpellier.org;
18;ÉTABLISSEMENTS;;ENFANT;IME LES OLIVIERS;695 RUE BOUISSES 34070 MONTPELLIER;sms.lesoliviers@adages.net;
19;ÉTABLISSEMENTS;;ENFANT;IME LES SAPINS MARVEJOLS;AVENUE PIERRE SEMARD 48100 MARVEJOLS;;
20;ÉTABLISSEMENTS;;ENFANT;IME SOL'N;18 AVENENUE DE LA GARE 34440 NISSAN LEZ ENSERUNE;maison.soln@croix-rouge.fr;
21;ÉTABLISSEMENTS;;ENFANT;IME L'ENSOLEILLADE;55 AVE DE MONTPELLIER BP 52 34725 SAINT ANDRE DE SANGONIS;contact.ime@ensolleillade.asso.fr;
22;ÉTABLISSEMENTS;;ENFANT;IME LES HIRONDELLES;11 AVENUE DU STADE 34440 SAUVIAN;ime.leshirondelles@apeaiouestherault.fr;
23;ÉTABLISSEMENTS;;ENFANT;IME LA CORNICHE;16 BIS BOULEVARD JOLIOT CURIE 34200 SETE;ies@ieslacorniche.fr;
24;ÉTABLISSEMENTS;;ENFANT;ITEP BOURNEVILLE;120 RUE DU MAS PRUNET 34070 MONTPELLIER;centre.bourneville@adages.net;
25;ÉTABLISSEMENTS;;ENFANT;ITEP  CAMPESTRE ;1120 ROUTE DE BEDARIEUX  34701 LODEVE;;
26;ÉTABLISSEMENTS;;ENFANT;ITEP LANGUEDOC;38 RUE DU MAZET CS40028 34077 MONTPELLIER CEDEX 3;itep.languedoc@adages.net;
27;ÉTABLISSEMENTS;;ENFANT;ITEP LE MONT LOZERE;ZAC DE LA COURONDELLE 74 RUE MICHELINE OSTERMEYER 34500 BEZIERS;;
28;ÉTABLISSEMENTS;;ENFANT;ITEP NAZARETH;13 RUE DE NAZARRETH BP 24105 34091 MONTPELLIER CEDEX 5;inazareth@armeedusalut.fr;
29;ÉTABLISSEMENTS;;ENFANT;IME INSTITUT RAYMOND FAGES;CHEMIN RAYMOND FAGES 34300 AGDE;;
30;ÉTABLISSEMENTS;;ENFANT;IME INSTITUT SAINT HILAIRE;12 AVENUE ALEXANDRE LAVZL 3450 FLORENSAC;;
31;ÉTABLISSEMENTS;;ENFANT;SÉSAME AUTISME BITTÉROIS;BOULEVARD  CAUTAUSSEL  34440 NISSAN LEZ ENSERNE;maison.dubitterois@sesameautismelr.fr;
