,SECTEUR,SOUS-SECTEUR,CIBLE,AGE MINI,AGE MAX,NOM ,ADRESSE,MAIL,TELEPHONE,LIEN
0,Accueil de loisir,UFOLEP,Enfant ,3.0,11.0,UFOLEP Ovalie,école Olympe de Gouges 1375 rue bugarel 34070 MONTPELLIER,,04 67 67 41 63,http://www.cd.ufolep.org/herault/herault_a/cms/index_public.php?us_action=show_note&ui_id_site=1&ui_id_doc=1030300002
1,Accueil de loisir,UFOLEP,Enfant ,3.0,11.0,UFOLEP Grisettes,école Beethoven 280 rue du Mas Nouguier 34070 MONTPELLIER,,04 67 67 41 63,http://www.cd.ufolep.org/herault/herault_a/cms/index_public.php?us_action=show_note&ui_id_site=1&ui_id_doc=1030400002
2,Accueil de loisir,UFOLEP,Enfant ,6.0,11.0,UFOLEP Voltaire,école Voltaire 157 rue Henri Sellier 34070 MONTPELLIER,,04 67 67 41 63,http://www.cd.ufolep.org/herault/herault_a/cms/index_public.php?us_action=show_note&ui_id_site=1&ui_id_doc=1030500001
3,Accueil de loisir,UFOLEP,Enfant ,3.0,5.0,UFOLEP Kipling,école Kipling 311 avenue de Saint Clément 34070 MONTPELLIER,,04 67 67 41 63,http://www.cd.ufolep.org/herault/herault_a/cms/index_public.php?us_action=show_note&ui_id_site=1&ui_id_doc=1030200002
4,Accueil de loisir,UFOLEP,Enfant ,3.0,5.0,UFOLEP Pagnol,école Pagnol 305 rue Georges Brassens 34070 MONTPELLIER,,04 67 67 41 63,http://www.cd.ufolep.org/herault/herault_a/cms/index_public.php?PHPSESSID=64ou3f613l5jikj9t389ilu0m5&us_action=show_note&ui_id_site=1&ui_id_doc=1030500001
5,Accueil de loisir,UFOLEP,Enfant ,6.0,11.0,UFOLEP Baudelaire,école Baudelaire 311 avenue de Saint Clément 34070 MONTPELLIER,,04 67 67 41 63,http://www.cd.ufolep.org/herault/herault_a/cms/index_public.php?PHPSESSID=64ou3f613l5jikj9t389ilu0m5&us_action=show_note&ui_id_site=1&ui_id_doc=1030200002
6,Accueil de loisir,UFOLEP,Enfant ,3.0,11.0,UFOLEP Richier,école Richier 99 rue Jean Prat 34070 MONTPELLIER,,04 67 67 41 64,http://www.cd.ufolep.org/herault/herault_a/cms/index_public.php?PHPSESSID=64ou3f613l5jikj9t389ilu0m5&us_action=show_note&ui_id_site=1&ui_id_doc=1030600001
7,Accueil de loisir,MUC,Enfant ,3.0,14.0,MUC Vacances,écoles Chaplin / Pottier-Sibelius 120 rue de la Jalade 34090 MONTPELLIER,,04 99 58 35 36,http://www.muc-vacances.com/accueils-de-loisirs/
8,Accueil de loisir,MUC,Enfant ,3.0,5.0,MUC Vacances,école maternelle Bernhardt 175 rue Edouard Villalonga 34000 MONTPELLIER,,04 99 58 35 36,http://www.muc-vacances.com/alsh-baby-millenaire-3-5-ans-mercredis/
9,Accueil de loisir,Relais des enfants,Enfant ,3.0,6.0,Le Petit Relais,école maternelle Francis Garnier 2 rue Général René 34000 MONTPELLIER,,04 67 66 21 30,https://www.relaisdesenfants.org/lieux-et-activites/lieux/petit-relais/?pages/Le-Petit-Relais
10,Accueil de loisir,Relais des enfants,Enfant ,3.0,6.0,Relais des Petits,école maternelle Rousseau 21 rue d’Aigrefeuille  34000 MONTPELLIER,,04 67 66 21 30,https://www.relaisdesenfants.org/lieux-et-activites/lieux/relais-des-petits/
11,Accueil de loisir,Relais des enfants,Enfant ,6.0,12.0,Relais des enfants,1 rue Embouque d’Or  34000 MONTPELLIER,,04 67 66 21 30,https://www.relaisdesenfants.org/lieux-et-activites/lieux/relais-des-enfants/
12,Accueil de loisir,Vacances Evasion,Enfant ,3.0,5.0,VACANCES EVASION Goethe,école Goethe 3 rue des Coronilles  34000 MONTPELLIER,,04 99 13 71 10,https://www.vaceva.com/centre-alsh-goethe-langevin/
13,Accueil de loisir,Vacances Evasion,Enfant ,6.0,12.0,VACANCES EVASION Langevin,école Langevin 5 rue de Clémentville  34070 MONTPELLIER,,04 99 13 71 10,https://www.vaceva.com/centre-alsh-goethe-langevin/
14,Accueil de loisir,Vacances Evasion,Enfant ,3.0,12.0,VACANCES EVASION De Gaulle / Jaures,école Jean Jaures 10 chemin des Barques  34000 MONTPELLIER,,04 99 13 71 10,https://www.vaceva.com/alsh-anthonioz-de-gaulle-jaures/
15,Accueil de loisir,Vacances Evasion,Enfant ,3.0,12.0,VACANCES EVASION Vendargues,école Andrée Cosso rue du 8 Mai 1945 34740 VENDARGUES,,06 40 42 18 62,https://www.vaceva.com/alsh-centre-de-vendargues/
